registration_id,reid,category,previous_image,current_image,previous_timestamp_local_naive,current_timestamp_local_naive,coordinate_frame_id,target_frame_id,spatial_unit,timezone_status,previous_keypoints,current_keypoints,good_matches,inliers,inlier_ratio,median_reprojection_error_px,p95_reprojection_error_px,projected_area_ratio,registration_passed,failure_reasons,homography_current_to_previous,mechanical_decision_eligible
a6e9c43c79661503e89a7169cb08d62723393771d85c480a45f2490b128b6d7a,5982,Transverse Crack,2023-04-21_12-49-21-367-n00088.jpg,2023-05-21_11-21-25-658-n00088.jpg,2023-04-21T12:49:21.367,2023-05-21T11:21:25.658,pavetrack:5982:2023-05-21_11-21-25-658-n00088.jpg:pixels,pavetrack:5982:2023-04-21_12-49-21-367-n00088.jpg:pixels,pixel,unknown_not_ingested,2275,2087,69,48,0.6956521739130435,1.3136959075927734,4.575908660888672,0.9022087645811788,True,,"[[0.998071161450261,0.09205685919459465,11.922246057293291],[0.0033006258535089195,1.037422567935639,8.714103102742804],[-6.209195968453076e-06,0.0001008785777086433,1.0]]",False
003b31ea366a0ad4f0e0eb000aeddbf0a69aa68fc720bdcae87e63969435e36f,5982,Transverse Crack,2023-05-21_11-21-25-658-n00088.jpg,2023-07-08_10-33-20-189-n00088.jpg,2023-05-21T11:21:25.658,2023-07-08T10:33:20.189,pavetrack:5982:2023-07-08_10-33-20-189-n00088.jpg:pixels,pavetrack:5982:2023-05-21_11-21-25-658-n00088.jpg:pixels,pixel,unknown_not_ingested,2087,2005,87,60,0.6896551724137931,1.8354358673095703,4.776825428009033,0.9126823094890891,True,,"[[0.9907350033671225,0.13840911995780752,-3.0650891603192822],[0.00408898832650214,1.0306381282233306,2.5812556139502694],[-8.614767699867162e-06,8.816846315494964e-05,1.0]]",False
592010a6be4ce8e363c93b596bf43ad10fb23b05657c837e98dde7df47668732,5982,Transverse Crack,2023-07-08_10-33-20-189-n00088.jpg,2023-08-13_10-56-48-937-n00088.jpg,2023-07-08T10:33:20.189,2023-08-13T10:56:48.937,pavetrack:5982:2023-08-13_10-56-48-937-n00088.jpg:pixels,pavetrack:5982:2023-07-08_10-33-20-189-n00088.jpg:pixels,pixel,unknown_not_ingested,2005,1915,72,34,0.4722222222222222,1.865738034248352,3.54630708694458,1.2712612336985354,True,,"[[1.0073545882576809,-0.129166242182608,-30.26661715845252],[-0.0025847933996331956,0.9700402743376105,3.569682890370249],[9.835527352468676e-06,-0.00016225436358414938,0.9999999999999999]]",False
603962b99b374b228ab489e8a12e46ecdb669c3dcfdefee81e5b79d82c163e38,5982,Transverse Crack,2023-08-13_10-56-48-937-n00088.jpg,2023-11-14_13-01-58-987-n00088.jpg,2023-08-13T10:56:48.937,2023-11-14T13:01:58.987,pavetrack:5982:2023-11-14_13-01-58-987-n00088.jpg:pixels,pavetrack:5982:2023-08-13_10-56-48-937-n00088.jpg:pixels,pixel,unknown_not_ingested,1915,1840,50,23,0.46,0.3511196970939636,1.444472312927246,0.9646423470578657,True,,"[[0.9920612710873281,0.017233839008441994,-0.2176040018099913],[-0.00027170920270997773,0.9882684512887169,0.3668555238009233],[-2.1444351139664576e-05,4.955498439630008e-05,1.0]]",False
ec22b0c5e47f191f422e5e360dbd3a543e28858dec87733c17191a2891cbe38c,696,Transverse Crack,2022-11-30_10-21-32-126-n00088.jpg,2023-01-17_07-24-20-763-n00088.jpg,2022-11-30T10:21:32.126,2023-01-17T07:24:20.763,pavetrack:696:2023-01-17_07-24-20-763-n00088.jpg:pixels,pavetrack:696:2022-11-30_10-21-32-126-n00088.jpg:pixels,pixel,unknown_not_ingested,2252,1906,163,51,0.3128834355828221,1.3776512145996094,5.6991682052612305,0.9420047522422126,True,,"[[0.9587610473693403,0.0944030703082553,0.41779965631298716],[-0.0007832565688489069,0.922034609233769,2.802657109014978],[-7.201177989928687e-05,9.869183989893218e-05,1.0]]",False
8d2844b1439f5e06aae6392cebfb334b3c82cbcba36be9d11de3d89829617d9a,696,Transverse Crack,2023-01-17_07-24-20-763-n00088.jpg,2023-03-01_07-01-55-897-n00088.jpg,2023-01-17T07:24:20.763,2023-03-01T07:01:55.897,pavetrack:696:2023-03-01_07-01-55-897-n00088.jpg:pixels,pavetrack:696:2023-01-17_07-24-20-763-n00088.jpg:pixels,pixel,unknown_not_ingested,1906,1752,220,98,0.44545454545454544,1.8659106492996216,4.887262344360352,0.9065439260702153,True,,"[[1.0302752575518936,0.04949315736073569,46.251345128156295],[0.010915530035909289,1.0100328558662872,-7.661285034659904],[1.7369765569160792e-05,5.7151948659506875e-05,1.0]]",False
7a1c37f55df1dbfac36e0694dfa0ee003fa301cacf1d3678bea64e7960e133b4,696,Transverse Crack,2023-03-01_07-01-55-897-n00088.jpg,2023-04-09_07-09-01-162-n00088.jpg,2023-03-01T07:01:55.897,2023-04-09T07:09:01.162,pavetrack:696:2023-04-09_07-09-01-162-n00088.jpg:pixels,pavetrack:696:2023-03-01_07-01-55-897-n00088.jpg:pixels,pixel,unknown_not_ingested,1752,1787,95,39,0.4105263157894737,0.2738160192966461,0.5958950519561768,0.7038841095404023,True,,"[[1.011584486109409,0.08320599446357575,-3.6559340789483468],[0.0007367091584154814,1.0100395790587466,-0.15616683517000474],[-2.832938693260077e-06,0.0002735440354227462,1.0]]",False
778267c91a83701cd3592a174955c86f077680a5dea038fcc690cd039775e11b,696,Transverse Crack,2023-04-09_07-09-01-162-n00088.jpg,2023-05-21_06-51-58-129-n00088.jpg,2023-04-09T07:09:01.162,2023-05-21T06:51:58.129,pavetrack:696:2023-05-21_06-51-58-129-n00088.jpg:pixels,pavetrack:696:2023-04-09_07-09-01-162-n00088.jpg:pixels,pixel,unknown_not_ingested,1787,2069,101,61,0.6039603960396039,0.3007276654243469,0.851081132888794,1.2298265667715618,True,,"[[0.9888346255623794,-0.03441169592759377,2.105422796995832],[-0.0012069442986665084,0.9789908507820456,0.8965290138431388],[-1.0403666938334061e-05,-0.00011791057613261079,1.0]]",False
7863054e225fd22b8d99ff15381d3a86712d0f094912a0dc141181c08813febe,696,Transverse Crack,2023-05-21_06-51-58-129-n00088.jpg,2023-07-02_06-39-58-391-n00088.jpg,2023-05-21T06:51:58.129,2023-07-02T06:39:58.391,pavetrack:696:2023-07-02_06-39-58-391-n00088.jpg:pixels,pavetrack:696:2023-05-21_06-51-58-129-n00088.jpg:pixels,pixel,unknown_not_ingested,2069,1683,85,37,0.43529411764705883,0.9192657470703125,4.724541664123535,0.8583227862587389,True,,"[[1.0364450187964809,-0.044455953856263844,-2.9144831820999935],[-0.005239657241354973,0.9371126292616409,4.241902837826021],[6.827259028196693e-05,-3.7825305478986803e-05,1.0]]",False
45a32097802345f14edf793721c4b1a7b096175d12c3b3a1c0f0bbd39d34f05a,696,Transverse Crack,2023-07-02_06-39-58-391-n00088.jpg,2023-08-07_06-31-29-379-n00088.jpg,2023-07-02T06:39:58.391,2023-08-07T06:31:29.379,pavetrack:696:2023-08-07_06-31-29-379-n00088.jpg:pixels,pavetrack:696:2023-07-02_06-39-58-391-n00088.jpg:pixels,pixel,unknown_not_ingested,1683,1842,96,40,0.4166666666666667,1.3770973682403564,4.895285129547119,10.641431424457782,False,degenerate_projected_area,"[[1.1193976858528165,-0.40221999833258265,-2.913794475593022],[0.019128643355292786,0.9617380735159952,-1.9996852265927425],[0.00040366528811414874,-0.0016059721932923951,0.9999999999999999]]",False
6afcddd4761742d55d32ceb44c631a13bd62c50fa758b82685d3f9a6797c53bb,696,Transverse Crack,2023-08-07_06-31-29-379-n00088.jpg,2023-11-08_07-10-22-561-n00088.jpg,2023-08-07T06:31:29.379,2023-11-08T07:10:22.561,pavetrack:696:2023-11-08_07-10-22-561-n00088.jpg:pixels,pavetrack:696:2023-08-07_06-31-29-379-n00088.jpg:pixels,pixel,unknown_not_ingested,1842,1628,24,3,0.125,0.08825190365314484,0.09124045073986053,1.2261037746039048e-06,False,too_few_good_matches|too_few_inliers|low_inlier_ratio|degenerate_projected_area,"[[8.709218028160715,-83.78830345179053,1673.0335339050282],[2.6067660296725457,-25.102010005922853,504.3719484263504],[0.005244782134292301,-0.050457075706045795,1.0]]",False
