reid,split,categories,unique_images,annotation_rows
5042,train,Transverse Crack,60,60
5070,test,Transverse Crack,37,37
5071,validation,Transverse Crack,48,48
514,test,Transverse Crack,101,101
516,train,Alligator Crack,44,44
5193,train,Pothole,86,86
5209,validation,Alligator Crack,67,67
5276,train,Alligator Crack,45,45
5508,train,Transverse Crack,103,103
551,validation,Patch|Pothole|Transverse Crack,44,74
566,train,Pothole,39,39
5763,validation,Pothole,77,77
577,train,Transverse Crack,80,80
5854,test,Alligator Crack,50,50
5885,train,Patch|Pothole,27,27
5903,train,Pothole,39,39
5904,test,Pothole,43,43
5982,train,Transverse Crack,105,105
6022,train,Transverse Crack,98,98
6142,train,Transverse Crack,58,58
6198,validation,Pothole,74,74
6202,train,Transverse Crack,28,28
6227,train,Alligator Crack|Transverse Crack,83,83
625,train,Alligator Crack|Transverse Crack,58,58
65,train,Alligator Crack|Patch|Transverse Crack,45,45
696,validation,Transverse Crack,83,83
702,train,Alligator Crack,54,54
71,train,Patch|Pothole,16,16
711,train,Alligator Crack|Patch,53,53
718,test,Alligator Crack,78,78
727,train,Patch|Transverse Crack,36,36
728,train,Alligator Crack|Patch|Pothole|Transverse Crack,25,26
73,train,Transverse Crack,27,27
75,train,Patch|Pothole,31,31
761-1,train,Alligator Crack|Patch|Transverse Crack,57,57
761-2,train,Alligator Crack,50,50
761-3,train,Patch|Pothole,57,57
786,train,Alligator Crack|Pothole,76,77
800,train,Alligator Crack|Patch,37,37
818,train,Patch|Pothole,43,43
821,train,Transverse Crack,30,30
842,train,Transverse Crack,71,71
941,validation,Alligator Crack|Patch,34,34
95,validation,Patch|Transverse Crack,23,23
956,train,Alligator Crack,62,62
993,validation,Patch|Pothole|Transverse Crack,38,38
